Listing for omni2 data from 20150621 to 20150625

Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSE)
 3 BZ, nT (GSE)
 4 SW Plasma Temperature, K
 5 SW Proton Density, N/cm^3
 6 SW Plasma Speed, km/s

YEAR DOY HR    1     2     3        4     5     6 
2015 172  0   0.9   4.2  -0.7   14905.   8.6  305.
2015 172  1  -3.0   2.9   0.5   12029.   7.1  288.
2015 172  2  -3.6   2.9   0.8    7695.   7.2  290.
2015 172  3  -2.6   2.6   0.2    8297.   8.1  298.
2015 172  4  -1.8   1.9   0.4   11859.   9.2  297.
2015 172  5  -2.5   1.4   0.1   14558.   8.9  295.
2015 172  6  -3.4   1.4  -0.1   14363.   8.4  287.
2015 172  7  -2.0   0.9  -0.0   11791.  10.2  294.
2015 172  8  -2.5   1.4  -0.2   11128.  10.1  286.
2015 172  9  -1.9   1.6  -0.2   11124.  10.7  284.
2015 172 10  -1.4   3.1  -0.4    9586.  10.6  281.
2015 172 11  -1.3   2.8  -1.0    7939.  10.9  279.
2015 172 12  -0.9   0.9  -0.2   10591.  10.6  283.
2015 172 13  -1.5  -0.3  -0.3   10098.  11.1  283.
2015 172 14  -1.5  -0.4  -0.1    9756.  11.4  282.
2015 172 15  -1.5   0.0   0.5    9925.  12.0  282.
2015 172 16  -1.6   0.6   0.4   10513.  14.5  284.
2015 172 17  -0.5  -0.3   1.2   35710.  35.6  333.
2015 172 18   5.4  -6.4   0.4   42467.  35.8  345.
2015 172 19   4.9  -4.4  -0.5   45099.  41.7  342.
2015 172 20   3.9  -4.8   5.3   51544.  31.6  340.
2015 172 21   4.4  -5.0   1.4   51364.  32.5  342.
2015 172 22  -6.4   5.6   4.4   62182.  24.1  349.
2015 172 23  -6.7   6.9   5.4   63669.  14.7  339.
2015 173  0  -7.9   7.3   1.3   60720.  11.0  336.
2015 173  1  -6.6   7.2   4.2   81341.  10.1  348.
2015 173  2  -6.9   6.6   3.4   70908.   9.1  343.
2015 173  3  -7.0   5.4   2.7   72339.   9.2  345.
